image_id,class_id,x_min,y_min,x_max,y_max,area,width,height,fold_id
0005e8e3701dfb1dd93d53e2ff537b6e,4,466,283,598,448,21780,1536,1536,4
0005e8e3701dfb1dd93d53e2ff537b6e,6,450,293,602,444,22952,1536,1536,4
0005e8e3701dfb1dd93d53e2ff537b6e,8,466,283,598,448,21780,1536,1536,4
0005e8e3701dfb1dd93d53e2ff537b6e,7,451,292,601,444,22800,1536,1536,4
0007d316f756b3fa0baea2ff514ce945,5,923,704,1046,1048,42312,1152,1440,2
0007d316f756b3fa0baea2ff514ce945,5,267,873,466,1006,26467,1152,1440,2
0007d316f756b3fa0baea2ff514ce945,0,626,514,745,630,13804,1152,1440,2
0007d316f756b3fa0baea2ff514ce945,3,451,913,914,1018,48615,1152,1440,2
0007d316f756b3fa0baea2ff514ce945,11,409,338,493,469,11004,1152,1440,2
0007d316f756b3fa0baea2ff514ce945,11,310,336,512,425,17978,1152,1440,2
0007d316f756b3fa0baea2ff514ce945,11,395,317,523,362,5760,1152,1440,2
0007d316f756b3fa0baea2ff514ce945,13,696,351,759,395,2772,1152,1440,2
0007d316f756b3fa0baea2ff514ce945,13,402,358,428,459,2626,1152,1440,2
0007d316f756b3fa0baea2ff514ce945,13,409,338,493,469,11004,1152,1440,2
000d68e42b71d3eac10ccc077aba07c1,7,85,239,1017,740,466932,1152,1440,7
000d68e42b71d3eac10ccc077aba07c1,7,592,123,793,163,8040,1152,1440,7
000d68e42b71d3eac10ccc077aba07c1,0,534,258,675,384,17766,1152,1440,7
000d68e42b71d3eac10ccc077aba07c1,13,677,308,850,588,48440,1152,1440,7
000d68e42b71d3eac10ccc077aba07c1,11,234,151,390,184,5148,1152,1440,7
000d68e42b71d3eac10ccc077aba07c1,11,592,123,793,163,8040,1152,1440,7
000d68e42b71d3eac10ccc077aba07c1,9,21,0,441,717,301140,1152,1440,7
000d68e42b71d3eac10ccc077aba07c1,9,1045,585,1134,908,28747,1152,1440,7
000d68e42b71d3eac10ccc077aba07c1,9,172,9,364,158,28608,1152,1440,7
000d68e42b71d3eac10ccc077aba07c1,9,1046,600,1061,622,330,1152,1440,7
000d68e42b71d3eac10ccc077aba07c1,9,591,0,1050,741,340119,1152,1440,7
000d68e42b71d3eac10ccc077aba07c1,9,5,724,34,843,3451,1152,1440,7
000d68e42b71d3eac10ccc077aba07c1,9,642,0,865,122,27206,1152,1440,7
000d68e42b71d3eac10ccc077aba07c1,9,164,0,888,145,104980,1152,1440,7
000d68e42b71d3eac10ccc077aba07c1,9,36,1038,81,1215,7965,1152,1440,7
00150343289f317a0ad5629d5b7d9ef9,3,409,526,956,670,78768,1262,1254,7
00150343289f317a0ad5629d5b7d9ef9,7,938,551,1119,667,20996,1262,1254,7
00150343289f317a0ad5629d5b7d9ef9,7,966,557,1101,615,7830,1262,1254,7
00150343289f317a0ad5629d5b7d9ef9,9,564,151,673,422,29539,1262,1254,7
00150343289f317a0ad5629d5b7d9ef9,10,104,599,276,698,17028,1262,1254,7
00150343289f317a0ad5629d5b7d9ef9,10,127,630,201,717,6438,1262,1254,7
00150343289f317a0ad5629d5b7d9ef9,10,982,553,1129,665,16464,1262,1254,7
00150343289f317a0ad5629d5b7d9ef9,13,966,557,1101,615,7830,1262,1254,7
00150343289f317a0ad5629d5b7d9ef9,13,314,592,410,632,3840,1262,1254,7
00150343289f317a0ad5629d5b7d9ef9,0,434,238,833,439,80199,1262,1254,7
00150343289f317a0ad5629d5b7d9ef9,0,646,233,842,428,38220,1262,1254,7
00150343289f317a0ad5629d5b7d9ef9,11,127,630,201,717,6438,1262,1254,7
00150343289f317a0ad5629d5b7d9ef9,11,104,599,276,698,17028,1262,1254,7
