image_id,class_id,x_min,y_min,x_max,y_max,area,width,height,fold_id
0005e8e3701dfb1dd93d53e2ff537b6e,4,932,567,1197,896,87185,3072,3072,4
0005e8e3701dfb1dd93d53e2ff537b6e,6,900,587,1205,888,91805,3072,3072,4
0005e8e3701dfb1dd93d53e2ff537b6e,7,905,583,1203,890,91486,3072,3072,4
0005e8e3701dfb1dd93d53e2ff537b6e,8,932,567,1197,896,87185,3072,3072,4
0007d316f756b3fa0baea2ff514ce945,0,1235,1021,1482,1281,64220,2304,2880,9
0007d316f756b3fa0baea2ff514ce945,3,902,1827,1829,2037,194670,2304,2880,9
0007d316f756b3fa0baea2ff514ce945,5,1847,1409,2093,2096,169002,2304,2880,9
0007d316f756b3fa0baea2ff514ce945,5,535,1747,932,2013,105602,2304,2880,9
0007d316f756b3fa0baea2ff514ce945,11,790,634,1047,725,23387,2304,2880,9
0007d316f756b3fa0baea2ff514ce945,13,1392,702,1518,790,11088,2304,2880,9
0007d316f756b3fa0baea2ff514ce945,13,818,677,987,939,44278,2304,2880,9
000d68e42b71d3eac10ccc077aba07c1,0,1068,517,1350,768,70782,2304,2880,8
000d68e42b71d3eac10ccc077aba07c1,7,170,478,2034,1481,1869592,2304,2880,8
000d68e42b71d3eac10ccc077aba07c1,7,1184,246,1586,327,32562,2304,2880,8
000d68e42b71d3eac10ccc077aba07c1,9,2108,1172,2284,1833,116336,2304,2880,8
000d68e42b71d3eac10ccc077aba07c1,9,2093,1200,2123,1244,1320,2304,2880,8
000d68e42b71d3eac10ccc077aba07c1,9,10,1449,68,1687,13804,2304,2880,8
000d68e42b71d3eac10ccc077aba07c1,9,329,0,1777,291,421368,2304,2880,8
000d68e42b71d3eac10ccc077aba07c1,9,72,2076,162,2431,31950,2304,2880,8
000d68e42b71d3eac10ccc077aba07c1,11,469,303,781,368,20280,2304,2880,8
000d68e42b71d3eac10ccc077aba07c1,11,1184,246,1586,327,32562,2304,2880,8
000d68e42b71d3eac10ccc077aba07c1,13,1355,616,1700,1177,193545,2304,2880,8
00150343289f317a0ad5629d5b7d9ef9,0,1347,468,1675,849,124968,2525,2508,8
00150343289f317a0ad5629d5b7d9ef9,3,818,1053,1913,1340,314265,2525,2508,8
00150343289f317a0ad5629d5b7d9ef9,7,1932,1114,2203,1231,31707,2525,2508,8
00150343289f317a0ad5629d5b7d9ef9,9,1129,302,1347,844,118156,2525,2508,8
00150343289f317a0ad5629d5b7d9ef9,10,254,1261,402,1434,25604,2525,2508,8
00150343289f317a0ad5629d5b7d9ef9,10,2054,1112,2282,1329,49476,2525,2508,8
00150343289f317a0ad5629d5b7d9ef9,11,209,1199,552,1396,67571,2525,2508,8
00150343289f317a0ad5629d5b7d9ef9,11,2054,1112,2282,1329,49476,2525,2508,8
00150343289f317a0ad5629d5b7d9ef9,13,1932,1114,2203,1231,31707,2525,2508,8
00150343289f317a0ad5629d5b7d9ef9,13,629,1185,821,1265,15360,2525,2508,8
001d127bad87592efe45a5c7678f8b8d,2,1069,373,1298,831,104882,3072,3072,7
001d127bad87592efe45a5c7678f8b8d,13,2052,852,2112,884,1920,3072,3072,7
001d127bad87592efe45a5c7678f8b8d,13,884,379,1303,1094,299585,3072,3072,7
0046f681f078851293c4e710c4466058,0,1024,681,1362,969,97344,2304,2880,4
0046f681f078851293c4e710c4466058,6,315,559,632,814,80835,2304,2880,4
0046f681f078851293c4e710c4466058,11,1545,417,1809,688,71544,2304,2880,4
0046f681f078851293c4e710c4466058,11,478,398,709,570,39732,2304,2880,4
0046f681f078851293c4e710c4466058,13,674,501,764,548,4230,2304,2880,4
0046f681f078851293c4e710c4466058,13,315,559,632,814,80835,2304,2880,4
0046f681f078851293c4e710c4466058,13,1332,567,1773,1126,246519,2304,2880,4
0061cf6d35e253b6e7f03940592cc35e,0,1246,801,1418,1055,43688,2540,3072,7
0061cf6d35e253b6e7f03940592cc35e,2,1872,1696,1974,1806,11220,2540,3072,7
0061cf6d35e253b6e7f03940592cc35e,8,678,691,786,755,6912,2540,3072,7
0061cf6d35e253b6e7f03940592cc35e,13,596,617,728,767,19800,2540,3072,7
0061cf6d35e253b6e7f03940592cc35e,13,1832,1705,1976,1815,15840,2540,3072,7
00675cd546313f912cadd4ad54415d69,0,1319,821,1726,1156,136345,2606,2992,0
00675cd546313f912cadd4ad54415d69,3,993,1456,2142,1883,490623,2606,2992,0
008b3176a7248a0a189b5731ac8d2e95,3,863,1280,1902,1653,387547,2505,3147,5
008b3176a7248a0a189b5731ac8d2e95,7,565,615,662,684,6693,2505,3147,5
008b3176a7248a0a189b5731ac8d2e95,7,355,977,917,1632,368110,2505,3147,5
008b3176a7248a0a189b5731ac8d2e95,7,1667,936,2190,1680,389112,2505,3147,5
008b3176a7248a0a189b5731ac8d2e95,8,1618,1003,1760,1149,20732,2505,3147,5
008b3176a7248a0a189b5731ac8d2e95,8,1722,1413,1893,1581,28728,2505,3147,5
008b3176a7248a0a189b5731ac8d2e95,8,1791,1069,1864,1151,5986,2505,3147,5
008b3176a7248a0a189b5731ac8d2e95,8,1896,1508,2081,1664,28860,2505,3147,5
008b3176a7248a0a189b5731ac8d2e95,9,355,977,917,1632,368110,2505,3147,5
008b3176a7248a0a189b5731ac8d2e95,9,1667,936,2190,1680,389112,2505,3147,5
009d4c31ebf87e51c5c8c160a4bd8006,0,1473,1024,1820,1289,91955,2762,2890,4
009d4c31ebf87e51c5c8c160a4bd8006,4,700,968,1230,1617,343970,2762,2890,4
009d4c31ebf87e51c5c8c160a4bd8006,7,2120,1498,2186,1698,13200,2762,2890,4
009d4c31ebf87e51c5c8c160a4bd8006,7,704,1155,1233,1418,139127,2762,2890,4
009d4c31ebf87e51c5c8c160a4bd8006,10,308,537,1210,2404,1684034,2762,2890,4
009d4c31ebf87e51c5c8c160a4bd8006,13,2115,1485,2317,1707,44844,2762,2890,4
009d837e29ba400e03856cf8d6a5b545,0,1127,600,1387,862,68120,2304,2880,0
009d837e29ba400e03856cf8d6a5b545,11,1358,288,1600,357,16698,2304,2880,0
009d837e29ba400e03856cf8d6a5b545,11,560,296,861,421,37625,2304,2880,0
00aca42a24e4ea6066cca2546150c36e,0,1506,789,1831,1218,139425,2995,3077,8
00aca42a24e4ea6066cca2546150c36e,3,1093,1650,2292,2044,472406,2995,3077,8
00aca42a24e4ea6066cca2546150c36e,7,2201,1693,2522,2011,102078,2995,3077,8
00aca42a24e4ea6066cca2546150c36e,7,337,998,793,1993,453720,2995,3077,8
00aca42a24e4ea6066cca2546150c36e,10,2349,1746,2558,2189,92587,2995,3077,8
00aca42a24e4ea6066cca2546150c36e,11,820,335,1128,456,37268,2995,3077,8
00aca42a24e4ea6066cca2546150c36e,11,1999,394,2222,558,36572,2995,3077,8
00bcb82818ea83d6a86df241762cd7d0,0,931,551,1143,861,65720,2048,2500,0
00bcb82818ea83d6a86df241762cd7d0,3,664,1238,1422,1566,248624,2048,2500,0
00bcb82818ea83d6a86df241762cd7d0,9,701,650,856,1539,137795,2048,2500,0
00bcb82818ea83d6a86df241762cd7d0,10,1524,1479,1667,1691,30316,2048,2500,0
00bcb82818ea83d6a86df241762cd7d0,11,1524,1479,1667,1691,30316,2048,2500,0
00f2f97f74e086e1f82acc285ee4a5c5,0,1083,644,1332,886,60258,2304,2880,3
00f2f97f74e086e1f82acc285ee4a5c5,3,775,1275,1802,1623,357396,2304,2880,3
00f2f97f74e086e1f82acc285ee4a5c5,6,543,490,820,714,62048,2304,2880,3
00f2f97f74e086e1f82acc285ee4a5c5,6,1306,334,1803,767,215201,2304,2880,3
00f2f97f74e086e1f82acc285ee4a5c5,7,1327,374,1384,459,4845,2304,2880,3
00f2f97f74e086e1f82acc285ee4a5c5,11,453,413,808,526,40115,2304,2880,3
010018c93ed33ae56ed048ee54867e46,0,1437,873,1821,1290,160128,2813,3069,5
010018c93ed33ae56ed048ee54867e46,3,1079,1916,2116,2297,395097,2813,3069,5
010018c93ed33ae56ed048ee54867e46,8,813,905,867,964,3186,2813,3069,5
010018c93ed33ae56ed048ee54867e46,8,926,1057,970,1099,1848,2813,3069,5
010018c93ed33ae56ed048ee54867e46,11,647,2132,746,2235,10197,2813,3069,5
010018c93ed33ae56ed048ee54867e46,11,1611,502,1927,644,44872,2813,3069,5
010018c93ed33ae56ed048ee54867e46,11,2136,2249,2213,2320,5467,2813,3069,5
010018c93ed33ae56ed048ee54867e46,11,929,489,1177,642,37944,2813,3069,5
010018c93ed33ae56ed048ee54867e46,13,1775,604,2173,988,152832,2813,3069,5
010018c93ed33ae56ed048ee54867e46,13,811,695,1035,1158,103712,2813,3069,5
0108949daa13dc94634a7d650a05c0bb,0,1059,732,1345,997,75790,2304,2880,0
0108949daa13dc94634a7d650a05c0bb,3,766,1442,1797,1776,344354,2304,2880,0
010a3dbb67bc37800a041866844861b1,0,1358,820,1643,1131,88635,2540,3072,8
010a3dbb67bc37800a041866844861b1,3,1014,1489,2005,1938,444959,2540,3072,8
010a3dbb67bc37800a041866844861b1,6,1794,1020,2074,1265,68600,2540,3072,8
010a3dbb67bc37800a041866844861b1,7,1794,1020,2074,1265,68600,2540,3072,8
